age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,__target__
25.0,,,,7.0,Never-married,Machine-op-inspct,Own-child,Black,Male,0.0,,40.0,,0.0
,Private,89814.0,,9.0,,,Husband,White,Male,0.0,0.0,50.0,United-States,0.0
28.0,Local-gov,,Assoc-acdm,12.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
44.0,,160323.0,,10.0,Married-civ-spouse,,Husband,,Male,,0.0,40.0,,
34.0,,,10th,,Never-married,,Not-in-family,White,,0.0,0.0,30.0,United-States,0.0
63.0,Self-emp-not-inc,104626.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103.0,0.0,32.0,,1.0
24.0,Private,,Some-college,10.0,Never-married,,Unmarried,White,Female,0.0,,40.0,United-States,
55.0,Private,104996.0,,4.0,Married-civ-spouse,,Husband,,Male,0.0,0.0,,United-States,
65.0,Private,184454.0,HS-grad,,,Machine-op-inspct,,,,6418.0,0.0,40.0,United-States,
36.0,Federal-gov,212465.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,,Male,0.0,,40.0,United-States,0.0
,Private,,HS-grad,,Never-married,Adm-clerical,,White,,0.0,0.0,39.0,United-States,0.0
48.0,,279724.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,Male,3103.0,0.0,48.0,United-States,1.0
43.0,,,Masters,14.0,,Exec-managerial,Husband,White,Male,,0.0,50.0,,1.0
20.0,,444554.0,Some-college,10.0,Never-married,,Own-child,,Male,0.0,0.0,,United-States,0.0
,Private,,HS-grad,,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,,,,0.0
37.0,Private,,HS-grad,9.0,Widowed,Machine-op-inspct,Unmarried,White,,0.0,,20.0,United-States,0.0
,Private,107914.0,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,,Male,0.0,0.0,47.0,United-States,1.0
34.0,Private,,Some-college,10.0,Never-married,Other-service,Own-child,,Female,0.0,0.0,,United-States,
25.0,Private,,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,43.0,Peru,0.0
25.0,,205947.0,Bachelors,,Married-civ-spouse,,Husband,White,Male,0.0,,40.0,United-States,0.0
45.0,Self-emp-not-inc,,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,,0.0,90.0,United-States,1.0
,Private,,,9.0,Never-married,Adm-clerical,Own-child,,Male,0.0,,20.0,United-States,0.0
23.0,,134446.0,,,Separated,Machine-op-inspct,Unmarried,,Male,,0.0,54.0,United-States,0.0
,,99516.0,HS-grad,9.0,Married-civ-spouse,,Husband,White,,0.0,0.0,35.0,United-States,
32.0,Self-emp-not-inc,109282.0,,,,Prof-specialty,,White,,0.0,0.0,,United-States,0.0
46.0,,106444.0,Some-college,10.0,,,Husband,,Male,7688.0,0.0,38.0,United-States,1.0
56.0,Self-emp-not-inc,186651.0,11th,7.0,,Other-service,,White,Female,,0.0,,,0.0
24.0,,188274.0,,13.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,50.0,United-States,0.0
23.0,,258120.0,,10.0,Married-civ-spouse,Protective-serv,Husband,,Male,0.0,0.0,40.0,United-States,0.0
26.0,Private,,,9.0,Divorced,,Unmarried,White,Female,0.0,0.0,40.0,,
36.0,Local-gov,403681.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,,Male,0.0,,,United-States,1.0
22.0,,,5th-6th,3.0,,,Not-in-family,,,0.0,0.0,50.0,,
17.0,Private,269430.0,10th,6.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0.0
20.0,Private,257509.0,HS-grad,9.0,,Craft-repair,Own-child,,,0.0,,40.0,United-States,0.0
65.0,Private,136384.0,Masters,,Married-civ-spouse,Prof-specialty,Husband,White,,,0.0,,,1.0
44.0,Self-emp-inc,120277.0,Assoc-voc,11.0,Married-civ-spouse,Sales,Husband,,,,0.0,45.0,,1.0
36.0,Private,465326.0,HS-grad,9.0,,,Husband,White,Male,0.0,0.0,40.0,,0.0
,Private,,11th,7.0,Married-civ-spouse,Other-service,,,,,0.0,,United-States,
20.0,State-gov,,Some-college,,,Farming-fishing,Own-child,White,Male,0.0,0.0,,United-States,0.0
28.0,Private,,,11.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,36.0,United-States,
,Private,290208.0,7th-8th,4.0,Married-civ-spouse,,Husband,,,0.0,0.0,,Mexico,0.0
54.0,Private,,,10.0,Married-civ-spouse,Transport-moving,,White,Male,,0.0,50.0,United-States,0.0
,Private,,,,Separated,Priv-house-serv,Not-in-family,,Female,,,18.0,United-States,0.0
56.0,Self-emp-inc,,HS-grad,9.0,Widowed,Exec-managerial,Not-in-family,,Female,0.0,,,,0.0
18.0,,54440.0,Some-college,,Never-married,Other-service,,,Male,0.0,0.0,20.0,,
,Private,,HS-grad,9.0,Divorced,,Own-child,Black,,,0.0,40.0,United-States,0.0
,,214399.0,Some-college,10.0,,Other-service,Own-child,White,Female,0.0,,24.0,United-States,0.0
,Private,,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Male,14084.0,0.0,60.0,United-States,
,Private,,9th,,Married-spouse-absent,Exec-managerial,,White,Male,0.0,0.0,54.0,Mexico,0.0
21.0,Private,110677.0,,10.0,,Adm-clerical,Own-child,,,0.0,0.0,,United-States,
,Private,145985.0,HS-grad,,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,,40.0,United-States,
34.0,,382078.0,Bachelors,,,Exec-managerial,Husband,White,Male,,0.0,,,
42.0,,170721.0,,,Married-civ-spouse,Exec-managerial,Husband,White,,5178.0,0.0,,United-States,1.0
33.0,,269705.0,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,,White,Male,,0.0,40.0,United-States,0.0
,Private,101135.0,,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,,United-States,0.0
,,,Some-college,10.0,Divorced,Sales,,,,0.0,,40.0,,0.0
26.0,Private,,Masters,,Never-married,Exec-managerial,Not-in-family,White,Female,,0.0,40.0,United-States,0.0
,Private,281384.0,HS-grad,,,Machine-op-inspct,Own-child,,Female,0.0,0.0,40.0,United-States,0.0
47.0,Local-gov,,,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.0
41.0,Self-emp-inc,445382.0,Assoc-acdm,12.0,Married-civ-spouse,,Husband,,Male,15024.0,,60.0,United-States,1.0
19.0,Private,105460.0,Some-college,10.0,Never-married,Other-service,,White,,0.0,0.0,20.0,,0.0
46.0,Private,170338.0,HS-grad,,Separated,,Not-in-family,White,,,0.0,40.0,United-States,0.0
,Private,102606.0,HS-grad,9.0,,,,White,Male,0.0,0.0,,,0.0
55.0,Private,323887.0,Some-college,,Married-civ-spouse,,Husband,White,Male,15024.0,0.0,,United-States,1.0
46.0,Private,175622.0,Assoc-voc,,Married-civ-spouse,,Husband,White,Male,0.0,,40.0,United-States,0.0
30.0,Private,229636.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,,0.0,,,Mexico,0.0
21.0,Private,388946.0,,10.0,Separated,,Not-in-family,,Female,,0.0,40.0,United-States,0.0
46.0,,,,,,,Husband,,,0.0,,,Dominican-Republic,0.0
41.0,Private,,HS-grad,9.0,Married-civ-spouse,,,White,Male,0.0,0.0,50.0,United-States,0.0
,Self-emp-inc,174379.0,HS-grad,9.0,,,,White,Male,0.0,0.0,30.0,,
50.0,Private,,HS-grad,9.0,Married-civ-spouse,,Husband,,Male,,,40.0,United-States,0.0
20.0,Private,72055.0,Some-college,10.0,,Adm-clerical,Not-in-family,,Female,0.0,0.0,,,0.0
45.0,,67001.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,,United-States,
,,213734.0,Bachelors,13.0,,Exec-managerial,,,Male,,,40.0,,
24.0,Private,83141.0,Some-college,,,,Not-in-family,White,Male,0.0,1876.0,40.0,United-States,0.0
31.0,Self-emp-not-inc,113752.0,,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,,0.0,,United-States,0.0
,,170482.0,HS-grad,9.0,Separated,Machine-op-inspct,Not-in-family,,Female,0.0,,44.0,United-States,0.0
,,244689.0,11th,,Never-married,Other-service,,White,Female,0.0,,10.0,United-States,0.0
